(6,9)	0.635
(3,6)	0.634
(3,9)	0.581
(2,6)	0.571
(2,9)	0.515
(9,10)	0.503
(4,9)	0.476
(2,7)	0.457
(2,10)	0.449
(3,5)	0.446
(1,2)	0.429
(5,6)	0.427
(4,10)	0.420
(2,3)	0.419
(6,10)	0.412
(2,5)	0.409
(6,7)	0.396
(3,7)	0.395
(3,10)	0.383
(3,4)	0.382
(2,4)	0.379
(4,6)	0.376
(7,9)	0.369
(5,10)	0.363
(1,6)	0.359
(1,5)	0.337
(1,3)	0.332
(8,10)	0.328
(4,5)	0.320
(1,7)	0.317
(7,8)	0.317
(6,8)	0.307
(5,9)	0.301
(3,8)	0.298
(5,8)	0.292
(8,9)	0.290
(5,7)	0.282
(4,8)	0.277
(2,8)	0.266
(1,9)	0.237
(1,8)	0.227
(1,10)	0.201
(1,4)	0.171
(7,10)	0.164
(4,7)	0.142
